color,r,g,b
AliceBlue,0.94,0.972,1
AntiqueWhite,0.98,0.92,0.844
Aqua,0,1,1
Aquamarine,0.498,1,0.83
Azure,0.94,1,1
Beige,0.96,0.96,0.864
Bisque,1,0.894,0.77
Black,0,0,0
BlanchedAlmond,1,0.92,0.804
Blue,0,0,1
BlueViolet,0.54,0.17,0.888
Brown,0.648,0.165,0.165
BurlyWood,0.87,0.72,0.53
CadetBlue,0.372,0.62,0.628
Chartreuse,0.498,1,0
Chocolate,0.824,0.41,0.116
Coral,1,0.498,0.312
CornflowerBlue,0.392,0.585,0.93
Cornsilk,1,0.972,0.864
Crimson,0.864,0.08,0.235
Cyan,0,1,1
DarkBlue,0,0,0.545
DarkCyan,0,0.545,0.545
DarkGoldenrod,0.72,0.525,0.044
DarkGray,0.664,0.664,0.664
DarkGreen,0,0.392,0
DarkGrey,0.664,0.664,0.664
DarkKhaki,0.74,0.716,0.42
DarkMagenta,0.545,0,0.545
DarkOliveGreen,0.332,0.42,0.185
DarkOrange,1,0.55,0
DarkOrchid,0.6,0.196,0.8
DarkRed,0.545,0,0
DarkSalmon,0.912,0.59,0.48
DarkSeaGreen,0.56,0.736,0.56
DarkSlateBlue,0.284,0.24,0.545
DarkSlateGray,0.185,0.31,0.31
DarkSlateGrey,0.185,0.31,0.31
DarkTurquoise,0,0.808,0.82
DarkViolet,0.58,0,0.828
DeepPink,1,0.08,0.576
DeepSkyBlue,0,0.75,1
DimGray,0.41,0.41,0.41
DimGrey,0.41,0.41,0.41
DodgerBlue,0.116,0.565,1
FireBrick,0.698,0.132,0.132
FloralWhite,1,0.98,0.94
ForestGreen,0.132,0.545,0.132
Fuchsia,1,0,1
Gainsboro,0.864,0.864,0.864
GhostWhite,0.972,0.972,1
Gold,1,0.844,0
Goldenrod,0.855,0.648,0.125
Gray,0.5,0.5,0.5
Green,0,0.5,0
GreenYellow,0.68,1,0.185
Grey,0.5,0.5,0.5
Honeydew,0.94,1,0.94
HotPink,1,0.41,0.705
IndianRed,0.804,0.36,0.36
Indigo,0.294,0,0.51
Ivory,1,1,0.94
Khaki,0.94,0.9,0.55
Lavender,0.9,0.9,0.98
LavenderBlush,1,0.94,0.96
LawnGreen,0.488,0.99,0
LemonChiffon,1,0.98,0.804
LightBlue,0.68,0.848,0.9
LightCoral,0.94,0.5,0.5
LightCyan,0.88,1,1
LightGoldenrod,0.933,0.867,0.51
LightGoldenrodYellow,0.98,0.98,0.824
LightGray,0.828,0.828,0.828
LightGreen,0.565,0.932,0.565
LightGrey,0.828,0.828,0.828
LightPink,1,0.712,0.756
LightSalmon,1,0.628,0.48
LightSeaGreen,0.125,0.698,0.668
LightSkyBlue,0.53,0.808,0.98
LightSlateBlue,0.518,0.44,1
LightSlateGray,0.468,0.532,0.6
LightSlateGrey,0.468,0.532,0.6
LightSteelBlue,0.69,0.77,0.87
LightYellow,1,1,0.88
Lime,0,1,0
LimeGreen,0.196,0.804,0.196
Linen,0.98,0.94,0.9
Magenta,1,0,1
Maroon,0.5,0,0
MediumAquamarine,0.4,0.804,0.668
MediumBlue,0,0,0.804
MediumOrchid,0.73,0.332,0.828
MediumPurple,0.576,0.44,0.86
MediumSeaGreen,0.235,0.7,0.444
MediumSlateBlue,0.484,0.408,0.932
MediumSpringGreen,0,0.98,0.604
MediumTurquoise,0.284,0.82,0.8
MediumVioletRed,0.78,0.084,0.52
MidnightBlue,0.098,0.098,0.44
MintCream,0.96,1,0.98
MistyRose,1,0.894,0.884
Moccasin,1,0.894,0.71
NavajoWhite,1,0.87,0.68
Navy,0,0,0.5
NavyBlue,0,0,0.5
OldLace,0.992,0.96,0.9
Olive,0.5,0.5,0
OliveDrab,0.42,0.556,0.136
Orange,1,0.648,0
OrangeRed,1,0.27,0
Orchid,0.855,0.44,0.84
PaleGoldenrod,0.932,0.91,0.668
PaleGreen,0.596,0.985,0.596
PaleTurquoise,0.688,0.932,0.932
PaleVioletRed,0.86,0.44,0.576
PapayaWhip,1,0.936,0.835
PeachPuff,1,0.855,0.725
Peru,0.804,0.52,0.248
Pink,1,0.752,0.796
Plum,0.868,0.628,0.868
PowderBlue,0.69,0.88,0.9
Purple,0.5,0,0.5
Red,1,0,0
RosyBrown,0.736,0.56,0.56
RoyalBlue,0.255,0.41,0.884
SaddleBrown,0.545,0.27,0.075
Salmon,0.98,0.5,0.448
SandyBrown,0.956,0.644,0.376
SeaGreen,0.18,0.545,0.34
Seashell,1,0.96,0.932
Sienna,0.628,0.32,0.176
Silver,0.752,0.752,0.752
SkyBlue,0.53,0.808,0.92
SlateBlue,0.415,0.352,0.804
SlateGray,0.44,0.5,0.565
SlateGrey,0.44,0.5,0.565
Snow,1,0.98,0.98
SpringGreen,0,1,0.498
SteelBlue,0.275,0.51,0.705
Tan,0.824,0.705,0.55
Teal,0,0.5,0.5
Thistle,0.848,0.75,0.848
Tomato,1,0.39,0.28
Turquoise,0.25,0.88,0.815
Violet,0.932,0.51,0.932
VioletRed,0.816,0.125,0.565
Wheat,0.96,0.87,0.7
White,1,1,1
WhiteSmoke,0.96,0.96,0.96
Yellow,1,1,0
YellowGreen,0.604,0.804,0.196
